State,District,Crop,Season,Year,Area_Hectares,Production_Tonnes,Yield_t_per_ha,Soil_Type,Water_Requirement,Climate,Fertilizer
Gujarat,Gujarat District,Coconut,Zaid,2025,27641,158382,5.73,Loam,Medium,Temperate,Organic + NPK
Gujarat,Gujarat District,Jute,Kharif,2025,29312,98195,3.35,Laterite,High,Mountain,Organic + NPK
Gujarat,Gujarat District,Wheat,Kharif,2025,8119,20297,2.5,Laterite,Low,Mountain,NPK
Gujarat,Gujarat District,Coconut,Zaid,2025,14453,55065,3.81,Laterite,Low,Temperate,NPK
Gujarat,Gujarat District,Coffee,Kharif,2025,7336,28977,3.95,Laterite,High,Mountain,Potash
Gujarat,Gujarat District,Potato,Rabi,2025,20269,73373,3.62,Loam,Low,Semi-Arid,Organic + NPK
Gujarat,Gujarat District,Potato,Rabi,2025,26570,153840,5.79,Sandy,Low,Semi-Arid,Potash
Haryana,Haryana District,Mustard,Kharif,2016,6736,12394,1.84,Alluvial,Medium,Semi-Arid,DAP + Urea
Haryana,Haryana District,Jute,Kharif,2016,21520,57028,2.65,Laterite,Medium,Semi-Arid,Urea
Haryana,Haryana District,Coconut,Kharif,2016,7195,12591,1.75,Black,Low,Humid,Potash
Haryana,Haryana District,Jowar,Rabi,2016,20512,120200,5.86,Laterite,High,Humid,Organic + NPK
Haryana,Haryana District,Ragi,Rabi,2016,8996,22669,2.52,Loam,Medium,Tropical,Potash
Haryana,Haryana District,Soybean,Kharif,2016,26689,133445,5,Loam,High,Temperate,DAP + Urea
Haryana,Haryana District,Tea,Zaid,2016,29360,63124,2.15,Sandy,Medium,Semi-Arid,Organic + NPK
Haryana,Haryana District,Rice,Kharif,2016,14154,41329,2.92,Red,Low,Temperate,Urea
Haryana,Haryana District,Soybean,Zaid,2016,13604,58089,4.27,Alluvial,High,Semi-Arid,DAP + Urea
Haryana,Haryana District,Sugarcane,Rabi,2016,5043,25971,5.15,Alluvial,Medium,Mountain,Potash
Haryana,Haryana District,Mustard,Zaid,2016,15796,78506,4.97,Alluvial,Low,Tropical,Organic + NPK
Haryana,Haryana District,Wheat,Rabi,2016,19016,67887,3.57,Laterite,Low,Temperate,Potash
Haryana,Haryana District,Wheat,Rabi,2017,11647,27836,2.39,Loam,Low,Mountain,Urea
Haryana,Haryana District,Potato,Rabi,2017,24844,132170,5.32,Alluvial,Low,Temperate,NPK
Haryana,Haryana District,Jowar,Kharif,2017,14224,65714,4.62,Loam,Low,Semi-Arid,Organic + NPK
Haryana,Haryana District,Potato,Kharif,2017,29899,64880,2.17,Black,Medium,Mountain,DAP + Urea
Haryana,Haryana District,Jowar,Zaid,2017,28869,148386,5.14,Black,High,Temperate,NPK
Haryana,Haryana District,Soybean,Rabi,2017,20353,64926,3.19,Loam,Medium,Tropical,Urea
Haryana,Haryana District,Maize,Rabi,2017,5652,21025,3.72,Red,Low,Tropical,Urea
Haryana,Haryana District,Rubber,Zaid,2017,12178,37142,3.05,Clay Loam,High,Mountain,DAP + Urea
Haryana,Haryana District,Onion,Zaid,2017,4882,12644,2.59,Alluvial,Low,Humid,Organic + NPK
Haryana,Haryana District,Onion,Zaid,2017,15696,87269,5.56,Laterite,Low,Semi-Arid,Urea
Haryana,Haryana District,Cotton,Kharif,2017,1371,4675,3.41,Red,High,Semi-Arid,DAP + Urea
Haryana,Haryana District,Banana,Zaid,2017,22533,74358,3.3,Loam,Low,Temperate,Urea
Haryana,Haryana District,Ragi,Kharif,2018,12377,43319,3.5,Sandy,Low,Mountain,Organic + NPK
Haryana,Haryana District,Groundnut,Rabi,2018,4957,8625,1.74,Black,High,Tropical,NPK
Haryana,Haryana District,Rice,Rabi,2018,16141,89259,5.53,Sandy,Medium,Temperate,Urea
Haryana,Haryana District,Groundnut,Rabi,2018,3899,10098,2.59,Black,Low,Tropical,DAP + Urea
Haryana,Haryana District,Coconut,Rabi,2018,22269,61907,2.78,Sandy,Medium,Humid,NPK
Haryana,Haryana District,Rubber,Rabi,2018,5049,13985,2.77,Sandy,High,Mountain,Organic + NPK
Haryana,Haryana District,Wheat,Rabi,2018,10232,24454,2.39,Clay Loam,High,Mountain,DAP + Urea
Haryana,Haryana District,Rice,Kharif,2018,10763,61456,5.71,Alluvial,Medium,Humid,Organic + NPK
Haryana,Haryana District,Wheat,Zaid,2018,5087,23501,4.62,Clay Loam,Medium,Humid,Organic + NPK
Haryana,Haryana District,Coffee,Kharif,2018,6365,34307,5.39,Laterite,Medium,Temperate,Potash
Haryana,Haryana District,Mustard,Zaid,2018,27193,99526,3.66,Laterite,High,Semi-Arid,NPK
Haryana,Haryana District,Jowar,Rabi,2018,25433,48577,1.91,Sandy,Low,Mountain,Urea
Haryana,Haryana District,Jute,Kharif,2019,21453,45694,2.13,Alluvial,High,Mountain,Urea
Haryana,Haryana District,Banana,Kharif,2019,20151,78991,3.92,Alluvial,High,Humid,Urea
Haryana,Haryana District,Banana,Rabi,2019,29249,165256,5.65,Clay Loam,Medium,Mountain,Organic + NPK
Haryana,Haryana District,Potato,Kharif,2019,12474,50519,4.05,Laterite,Low,Semi-Arid,Organic + NPK
Haryana,Haryana District,Bajra,Kharif,2019,24284,141575,5.83,Alluvial,High,Humid,Organic + NPK
Haryana,Haryana District,Potato,Rabi,2019,25843,42640,1.65,Laterite,High,Temperate,NPK
Haryana,Haryana District,Banana,Zaid,2019,17880,106207,5.94,Black,Low,Mountain,Potash
Haryana,Haryana District,Potato,Zaid,2019,11620,32419,2.79,Clay Loam,Low,Mountain,DAP + Urea
Haryana,Haryana District,Cotton,Zaid,2019,22809,108114,4.74,Clay Loam,Medium,Temperate,Potash
Haryana,Haryana District,Rubber,Kharif,2019,22354,126076,5.64,Alluvial,Low,Tropical,NPK
Haryana,Haryana District,Maize,Rabi,2019,13175,66270,5.03,Black,Low,Tropical,Urea
Haryana,Haryana District,Wheat,Rabi,2019,8557,15231,1.78,Alluvial,Medium,Humid,Potash
Haryana,Haryana District,Apple,Zaid,2020,4879,26102,5.35,Loam,Low,Humid,Urea
Haryana,Haryana District,Rice,Rabi,2020,15825,40512,2.56,Clay Loam,Low,Semi-Arid,Potash
Haryana,Haryana District,Banana,Zaid,2020,12820,20383,1.59,Red,Low,Semi-Arid,Urea
Haryana,Haryana District,Coffee,Kharif,2020,12598,21668,1.72,Laterite,High,Semi-Arid,Potash
Haryana,Haryana District,Groundnut,Kharif,2020,23136,49742,2.15,Black,Medium,Semi-Arid,Organic + NPK
Haryana,Haryana District,Rice,Rabi,2020,29501,92633,3.14,Loam,Low,Semi-Arid,DAP + Urea
Haryana,Haryana District,Wheat,Zaid,2020,29127,62331,2.14,Red,Medium,Humid,NPK
Haryana,Haryana District,Maize,Rabi,2020,4682,9925,2.12,Black,Low,Semi-Arid,DAP + Urea
Haryana,Haryana District,Coconut,Zaid,2020,12704,26551,2.09,Black,Medium,Tropical,Potash
Haryana,Haryana District,Groundnut,Kharif,2020,24539,141344,5.76,Alluvial,High,Temperate,Urea
Haryana,Haryana District,Jowar,Kharif,2020,17308,84809,4.9,Alluvial,High,Mountain,Potash
Haryana,Haryana District,Onion,Rabi,2020,23755,81004,3.41,Loam,Medium,Mountain,Urea
Haryana,Haryana District,Rubber,Kharif,2021,21692,89154,4.11,Clay Loam,Medium,Tropical,Organic + NPK
Haryana,Haryana District,Mustard,Kharif,2021,26054,44291,1.7,Black,Low,Semi-Arid,Urea
Haryana,Haryana District,Cotton,Zaid,2021,27589,111459,4.04,Loam,Low,Semi-Arid,Potash
Haryana,Haryana District,Cotton,Zaid,2021,22973,134392,5.85,Sandy,Low,Semi-Arid,Urea
Haryana,Haryana District,Tea,Zaid,2021,22500,35775,1.59,Sandy,Medium,Semi-Arid,NPK
Haryana,Haryana District,Mustard,Kharif,2021,20489,113509,5.54,Clay Loam,High,Semi-Arid,NPK
Haryana,Haryana District,Ragi,Rabi,2021,3334,19403,5.82,Loam,High,Humid,DAP + Urea
Haryana,Haryana District,Onion,Kharif,2021,21415,37904,1.77,Black,High,Temperate,DAP + Urea
Haryana,Haryana District,Rice,Kharif,2021,20686,80882,3.91,Alluvial,High,Humid,Urea
Haryana,Haryana District,Wheat,Zaid,2021,22982,124102,5.4,Loam,High,Tropical,Urea
Haryana,Haryana District,Rubber,Zaid,2021,19074,107195,5.62,Alluvial,Medium,Humid,Urea
Haryana,Haryana District,Maize,Kharif,2021,11875,21256,1.79,Sandy,High,Tropical,Potash
Haryana,Haryana District,Coffee,Kharif,2022,6845,27790,4.06,Black,Medium,Tropical,Organic + NPK
Haryana,Haryana District,Potato,Rabi,2022,28608,129594,4.53,Clay Loam,Low,Mountain,Potash
Haryana,Haryana District,Groundnut,Kharif,2022,16887,94736,5.61,Red,Low,Mountain,NPK
Haryana,Haryana District,Banana,Zaid,2022,11059,43351,3.92,Loam,High,Humid,Urea
Haryana,Haryana District,Jowar,Zaid,2022,25302,95641,3.78,Laterite,High,Temperate,Organic + NPK
Haryana,Haryana District,Banana,Kharif,2022,9333,52451,5.62,Sandy,High,Humid,NPK
Haryana,Haryana District,Banana,Kharif,2022,28980,95054,3.28,Laterite,High,Humid,Organic + NPK
Haryana,Haryana District,Sugarcane,Kharif,2022,19435,54418,2.8,Black,Medium,Mountain,Potash
Haryana,Haryana District,Maize,Rabi,2022,13679,61965,4.53,Alluvial,High,Humid,DAP + Urea
Haryana,Haryana District,Ragi,Rabi,2022,3140,17678,5.63,Alluvial,Low,Temperate,Urea
Haryana,Haryana District,Ragi,Kharif,2022,15648,52107,3.33,Clay Loam,High,Semi-Arid,NPK
Haryana,Haryana District,Coconut,Zaid,2022,7011,22925,3.27,Loam,Medium,Mountain,Potash
Haryana,Haryana District,Cotton,Rabi,2023,4867,26087,5.36,Alluvial,Low,Tropical,Urea
Haryana,Haryana District,Rice,Rabi,2023,11836,45213,3.82,Red,Low,Temperate,Urea
Haryana,Haryana District,Apple,Rabi,2023,7520,33689,4.48,Red,High,Semi-Arid,Organic + NPK
Haryana,Haryana District,Bajra,Kharif,2023,5794,16512,2.85,Sandy,High,Mountain,Potash
Haryana,Haryana District,Maize,Zaid,2023,17837,76342,4.28,Clay Loam,High,Temperate,NPK
Haryana,Haryana District,Jute,Zaid,2023,4433,15604,3.52,Black,Low,Humid,Potash
Haryana,Haryana District,Coffee,Kharif,2023,19564,49105,2.51,Sandy,Medium,Temperate,NPK
Haryana,Haryana District,Maize,Zaid,2023,16103,42350,2.63,Red,Low,Humid,Potash
Haryana,Haryana District,Coffee,Zaid,2023,8497,29229,3.44,Clay Loam,Medium,Tropical,Urea
Haryana,Haryana District,Bajra,Zaid,2023,13918,67084,4.82,Clay Loam,High,Tropical,NPK
Haryana,Haryana District,Coffee,Rabi,2023,4382,23093,5.27,Sandy,Low,Tropical,Potash
Haryana,Haryana District,Tea,Zaid,2023,2947,9607,3.26,Laterite,Medium,Temperate,Urea
Haryana,Haryana District,Wheat,Rabi,2024,9066,29827,3.29,Laterite,Medium,Tropical,DAP + Urea
Haryana,Haryana District,Onion,Rabi,2024,4783,8752,1.83,Black,Low,Semi-Arid,DAP + Urea
Haryana,Haryana District,Coffee,Kharif,2024,21303,70938,3.33,Sandy,Medium,Tropical,NPK
Haryana,Haryana District,Jute,Zaid,2024,24761,83692,3.38,Black,High,Temperate,Potash
Haryana,Haryana District,Coffee,Kharif,2024,27569,76641,2.78,Clay Loam,Low,Semi-Arid,DAP + Urea
Haryana,Haryana District,Rubber,Zaid,2024,5709,16213,2.84,Red,High,Humid,NPK
Haryana,Haryana District,Apple,Kharif,2024,17652,52426,2.97,Laterite,Low,Temperate,Potash
Haryana,Haryana District,Coffee,Rabi,2024,23521,102081,4.34,Sandy,Medium,Tropical,Urea
Haryana,Haryana District,Wheat,Kharif,2024,10165,50621,4.98,Red,Low,Humid,DAP + Urea
Haryana,Haryana District,Mustard,Kharif,2024,5031,28928,5.75,Alluvial,Low,Humid,Organic + NPK
Haryana,Haryana District,Jute,Zaid,2024,19912,81240,4.08,Laterite,Low,Semi-Arid,Potash
Haryana,Haryana District,Onion,Zaid,2024,12930,33100,2.56,Black,High,Tropical,Urea
Haryana,Haryana District,Onion,Zaid,2025,13140,32981,2.51,Alluvial,High,Mountain,Potash
Haryana,Haryana District,Ragi,Zaid,2025,13937,70660,5.07,Sandy,High,Temperate,DAP + Urea
Haryana,Haryana District,Coconut,Zaid,2025,27317,62555,2.29,Alluvial,High,Humid,DAP + Urea
Haryana,Haryana District,Tea,Zaid,2025,15983,59776,3.74,Black,High,Humid,DAP + Urea
Haryana,Haryana District,Bajra,Zaid,2025,2810,13263,4.72,Red,Low,Mountain,Potash
Haryana,Haryana District,Mustard,Kharif,2025,9109,45362,4.98,Loam,Low,Tropical,Urea
Haryana,Haryana District,Tea,Zaid,2025,4726,25520,5.4,Black,Medium,Tropical,Urea
Haryana,Haryana District,Rubber,Zaid,2025,16646,98544,5.92,Alluvial,Low,Mountain,Urea
Haryana,Haryana District,Jute,Rabi,2025,21927,104153,4.75,Red,Low,Humid,Potash
Haryana,Haryana District,Tea,Rabi,2025,27400,52608,1.92,Sandy,Low,Humid,NPK
Haryana,Haryana District,Tea,Rabi,2025,8458,39837,4.71,Loam,High,Humid,NPK
Haryana,Haryana District,Banana,Zaid,2025,12103,68381,5.65,Alluvial,Medium,Tropical,NPK
Himachal Pradesh,Himachal Pradesh District,Rice,Kharif,2016,19302,44587,2.31,Black,Medium,Tropical,Potash
Himachal Pradesh,Himachal Pradesh District,Cotton,Zaid,2016,13629,31755,2.33,Alluvial,High,Humid,Urea
Himachal Pradesh,Himachal Pradesh District,Groundnut,Kharif,2016,12771,56958,4.46,Loam,Low,Tropical,Urea
Himachal Pradesh,Himachal Pradesh District,Groundnut,Rabi,2016,6477,16257,2.51,Sandy,Low,Tropical,Potash
Himachal Pradesh,Himachal Pradesh District,Soybean,Kharif,2016,707,2955,4.18,Alluvial,High,Semi-Arid,DAP + Urea
Himachal Pradesh,Himachal Pradesh District,Apple,Rabi,2016,12827,36428,2.84,Red,High,Semi-Arid,NPK
Himachal Pradesh,Himachal Pradesh District,Apple,Kharif,2016,20682,49016,2.37,Laterite,Medium,Temperate,DAP + Urea
Himachal Pradesh,Himachal Pradesh District,Rice,Kharif,2016,16916,45504,2.69,Sandy,Low,Tropical,DAP + Urea
Himachal Pradesh,Himachal Pradesh District,Apple,Kharif,2016,24217,51582,2.13,Sandy,Low,Mountain,Organic + NPK
Himachal Pradesh,Himachal Pradesh District,Potato,Zaid,2016,17610,27823,1.58,Black,Medium,Tropical,NPK
Himachal Pradesh,Himachal Pradesh District,Groundnut,Zaid,2016,13969,29055,2.08,Sandy,Medium,Mountain,DAP + Urea
Himachal Pradesh,Himachal Pradesh District,Mustard,Zaid,2016,2343,7427,3.17,Loam,Low,Semi-Arid,Potash
Himachal Pradesh,Himachal Pradesh District,Mustard,Zaid,2017,9311,28491,3.06,Sandy,High,Mountain,DAP + Urea
Himachal Pradesh,Himachal Pradesh District,Jowar,Zaid,2017,19931,51222,2.57,Alluvial,Medium,Humid,Potash
Himachal Pradesh,Himachal Pradesh District,Groundnut,Rabi,2017,24743,51218,2.07,Clay Loam,Medium,Mountain,NPK
Himachal Pradesh,Himachal Pradesh District,Onion,Rabi,2017,8619,14048,1.63,Alluvial,Low,Semi-Arid,NPK
Himachal Pradesh,Himachal Pradesh District,Rubber,Rabi,2017,23769,103157,4.34,Laterite,High,Mountain,DAP + Urea
Himachal Pradesh,Himachal Pradesh District,Rubber,Kharif,2017,4011,18290,4.56,Sandy,High,Temperate,Organic + NPK
Himachal Pradesh,Himachal Pradesh District,Apple,Kharif,2017,23683,128835,5.44,Alluvial,High,Semi-Arid,NPK
Himachal Pradesh,Himachal Pradesh District,Soybean,Zaid,2017,17053,51159,3,Clay Loam,Low,Semi-Arid,Potash
Himachal Pradesh,Himachal Pradesh District,Cotton,Zaid,2017,15318,25887,1.69,Laterite,Medium,Tropical,NPK
Himachal Pradesh,Himachal Pradesh District,Jowar,Kharif,2017,12091,30832,2.55,Laterite,High,Semi-Arid,Urea
Himachal Pradesh,Himachal Pradesh District,Wheat,Kharif,2017,25634,150727,5.88,Alluvial,Medium,Humid,Urea
Himachal Pradesh,Himachal Pradesh District,Mustard,Kharif,2017,28068,130796,4.66,Sandy,Medium,Mountain,Organic + NPK
Himachal Pradesh,Himachal Pradesh District,Onion,Kharif,2018,29108,120216,4.13,Loam,High,Humid,Urea
Himachal Pradesh,Himachal Pradesh District,Potato,Rabi,2018,14393,50807,3.53,Black,Low,Temperate,Potash
Himachal Pradesh,Himachal Pradesh District,Apple,Rabi,2018,15284,65568,4.29,Alluvial,Low,Tropical,Urea
Himachal Pradesh,Himachal Pradesh District,Coffee,Zaid,2018,25195,68026,2.7,Loam,Medium,Mountain,Organic + NPK
Himachal Pradesh,Himachal Pradesh District,Apple,Kharif,2018,12812,50351,3.93,Clay Loam,Low,Temperate,Urea
Himachal Pradesh,Himachal Pradesh District,Coffee,Rabi,2018,9118,38842,4.26,Alluvial,Low,Semi-Arid,NPK
Himachal Pradesh,Himachal Pradesh District,Wheat,Kharif,2018,7447,39618,5.32,Black,Medium,Mountain,NPK
Himachal Pradesh,Himachal Pradesh District,Mustard,Kharif,2018,27892,152290,5.46,Laterite,Medium,Temperate,DAP + Urea
Himachal Pradesh,Himachal Pradesh District,Banana,Zaid,2018,4873,20661,4.24,Black,Low,Humid,Urea
Himachal Pradesh,Himachal Pradesh District,Soybean,Kharif,2018,10735,46267,4.31,Loam,High,Temperate,DAP + Urea
Himachal Pradesh,Himachal Pradesh District,Ragi,Kharif,2018,22064,83401,3.78,Loam,Medium,Tropical,Organic + NPK
Himachal Pradesh,Himachal Pradesh District,Banana,Rabi,2018,19119,107257,5.61,Black,Low,Mountain,Organic + NPK
Himachal Pradesh,Himachal Pradesh District,Coffee,Kharif,2019,18168,58864,3.24,Red,Medium,Temperate,Organic + NPK
Himachal Pradesh,Himachal Pradesh District,Bajra,Rabi,2019,20390,71161,3.49,Black,Medium,Semi-Arid,NPK
Himachal Pradesh,Himachal Pradesh District,Rubber,Kharif,2019,23771,48730,2.05,Red,Medium,Semi-Arid,Organic + NPK
Himachal Pradesh,Himachal Pradesh District,Jowar,Zaid,2019,7033,21872,3.11,Black,High,Mountain,DAP + Urea
Himachal Pradesh,Himachal Pradesh District,Onion,Rabi,2019,29139,128211,4.4,Black,Medium,Mountain,Potash
Himachal Pradesh,Himachal Pradesh District,Mustard,Zaid,2019,4824,21659,4.49,Loam,Low,Humid,NPK
Himachal Pradesh,Himachal Pradesh District,Rubber,Zaid,2019,8714,46794,5.37,Alluvial,High,Tropical,Potash
Himachal Pradesh,Himachal Pradesh District,Mustard,Kharif,2019,1701,8232,4.84,Black,High,Temperate,DAP + Urea
Himachal Pradesh,Himachal Pradesh District,Soybean,Zaid,2019,27113,140716,5.19,Alluvial,High,Mountain,Potash
Himachal Pradesh,Himachal Pradesh District,Potato,Rabi,2019,29194,45250,1.55,Laterite,High,Tropical,Potash
Himachal Pradesh,Himachal Pradesh District,Mustard,Kharif,2019,17605,103341,5.87,Loam,Low,Humid,Urea
Himachal Pradesh,Himachal Pradesh District,Groundnut,Zaid,2019,1555,8661,5.57,Clay Loam,Medium,Humid,Organic + NPK
Himachal Pradesh,Himachal Pradesh District,Rice,Rabi,2020,15558,47296,3.04,Laterite,Medium,Humid,DAP + Urea
Himachal Pradesh,Himachal Pradesh District,Coconut,Zaid,2020,2498,11340,4.54,Red,Medium,Mountain,NPK
Himachal Pradesh,Himachal Pradesh District,Rice,Kharif,2020,13084,28653,2.19,Laterite,High,Mountain,Urea
Himachal Pradesh,Himachal Pradesh District,Groundnut,Zaid,2020,7916,30159,3.81,Sandy,Low,Semi-Arid,Urea
Himachal Pradesh,Himachal Pradesh District,Banana,Kharif,2020,21615,119098,5.51,Black,Low,Mountain,Potash
Himachal Pradesh,Himachal Pradesh District,Coffee,Zaid,2020,2914,16755,5.75,Laterite,Low,Temperate,DAP + Urea
Himachal Pradesh,Himachal Pradesh District,Coffee,Zaid,2020,11612,28333,2.44,Laterite,Medium,Tropical,Potash
Himachal Pradesh,Himachal Pradesh District,Maize,Rabi,2020,7118,21923,3.08,Loam,Low,Semi-Arid,Potash
Himachal Pradesh,Himachal Pradesh District,Jowar,Zaid,2020,14766,41640,2.82,Black,High,Temperate,Potash
Himachal Pradesh,Himachal Pradesh District,Banana,Zaid,2020,4896,21836,4.46,Alluvial,High,Tropical,Urea
Himachal Pradesh,Himachal Pradesh District,Soybean,Rabi,2020,26487,66217,2.5,Alluvial,Low,Semi-Arid,DAP + Urea
Himachal Pradesh,Himachal Pradesh District,Onion,Rabi,2020,9935,37951,3.82,Loam,High,Temperate,Potash
Himachal Pradesh,Himachal Pradesh District,Banana,Zaid,2021,13300,31388,2.36,Sandy,Medium,Humid,NPK
Himachal Pradesh,Himachal Pradesh District,Sugarcane,Kharif,2021,18908,38383,2.03,Sandy,High,Semi-Arid,Organic + NPK
Himachal Pradesh,Himachal Pradesh District,Onion,Rabi,2021,29836,52213,1.75,Red,Low,Mountain,Organic + NPK
Himachal Pradesh,Himachal Pradesh District,Rubber,Rabi,2021,4600,23920,5.2,Alluvial,Low,Humid,Potash
Himachal Pradesh,Himachal Pradesh District,Sugarcane,Zaid,2021,26316,109737,4.17,Alluvial,Medium,Semi-Arid,Potash
Himachal Pradesh,Himachal Pradesh District,Maize,Zaid,2021,14357,44506,3.1,Black,High,Mountain,Urea
Himachal Pradesh,Himachal Pradesh District,Jute,Zaid,2021,24011,106128,4.42,Clay Loam,Medium,Humid,Urea
Himachal Pradesh,Himachal Pradesh District,Rubber,Zaid,2021,8428,20564,2.44,Black,Low,Tropical,Organic + NPK
Himachal Pradesh,Himachal Pradesh District,Rice,Rabi,2021,25557,89193,3.49,Loam,Low,Temperate,Organic + NPK
Himachal Pradesh,Himachal Pradesh District,Onion,Kharif,2021,10418,22398,2.15,Clay Loam,Low,Temperate,DAP + Urea
Himachal Pradesh,Himachal Pradesh District,Coconut,Rabi,2021,6012,31863,5.3,Sandy,Medium,Humid,DAP + Urea
Himachal Pradesh,Himachal Pradesh District,Onion,Rabi,2021,8103,46349,5.72,Loam,Low,Temperate,DAP + Urea
Himachal Pradesh,Himachal Pradesh District,Jowar,Zaid,2022,2363,4726,2,Loam,Low,Semi-Arid,Potash
Himachal Pradesh,Himachal Pradesh District,Rice,Zaid,2022,17468,28822,1.65,Sandy,High,Tropical,Potash
Himachal Pradesh,Himachal Pradesh District,Rubber,Zaid,2022,24255,116666,4.81,Black,Medium,Semi-Arid,DAP + Urea
Himachal Pradesh,Himachal Pradesh District,Banana,Zaid,2022,16731,88005,5.26,Loam,Medium,Tropical,Potash
Himachal Pradesh,Himachal Pradesh District,Jowar,Zaid,2022,1272,3587,2.82,Sandy,Low,Humid,NPK
Himachal Pradesh,Himachal Pradesh District,Maize,Zaid,2022,12635,39168,3.1,Clay Loam,Medium,Humid,NPK
Himachal Pradesh,Himachal Pradesh District,Wheat,Rabi,2022,18590,110052,5.92,Red,Low,Humid,Urea
Himachal Pradesh,Himachal Pradesh District,Bajra,Kharif,2022,25420,124303,4.89,Laterite,Medium,Semi-Arid,DAP + Urea
Himachal Pradesh,Himachal Pradesh District,Apple,Kharif,2022,14030,49946,3.56,Laterite,High,Tropical,Potash
Himachal Pradesh,Himachal Pradesh District,Coffee,Zaid,2022,12948,30427,2.35,Black,Low,Temperate,Urea
Himachal Pradesh,Himachal Pradesh District,Tea,Zaid,2022,12050,64106,5.32,Sandy,Low,Humid,DAP + Urea
Himachal Pradesh,Himachal Pradesh District,Ragi,Zaid,2022,10650,16827,1.58,Red,Medium,Semi-Arid,Organic + NPK
Himachal Pradesh,Himachal Pradesh District,Ragi,Kharif,2023,26123,123561,4.73,Loam,High,Tropical,Organic + NPK
Himachal Pradesh,Himachal Pradesh District,Coconut,Kharif,2023,23380,134902,5.77,Sandy,High,Humid,Potash
Himachal Pradesh,Himachal Pradesh District,Coffee,Zaid,2023,25541,38822,1.52,Loam,High,Temperate,DAP + Urea
Himachal Pradesh,Himachal Pradesh District,Sugarcane,Kharif,2023,6789,36185,5.33,Loam,High,Temperate,NPK
Himachal Pradesh,Himachal Pradesh District,Coconut,Kharif,2023,29377,140715,4.79,Loam,High,Tropical,Urea
Himachal Pradesh,Himachal Pradesh District,Apple,Zaid,2023,7594,40627,5.35,Sandy,Low,Tropical,NPK
Himachal Pradesh,Himachal Pradesh District,Soybean,Zaid,2023,12083,21507,1.78,Clay Loam,Low,Humid,Urea
Himachal Pradesh,Himachal Pradesh District,Jowar,Rabi,2023,6121,25524,4.17,Red,High,Humid,DAP + Urea
Himachal Pradesh,Himachal Pradesh District,Mustard,Rabi,2023,4412,21221,4.81,Black,Medium,Humid,Organic + NPK
Himachal Pradesh,Himachal Pradesh District,Apple,Kharif,2023,17764,73898,4.16,Clay Loam,Low,Tropical,Urea
Himachal Pradesh,Himachal Pradesh District,Ragi,Zaid,2023,27602,106819,3.87,Black,Medium,Mountain,Organic + NPK
Himachal Pradesh,Himachal Pradesh District,Coffee,Kharif,2023,17430,68848,3.95,Black,High,Tropical,Potash
Himachal Pradesh,Himachal Pradesh District,Cotton,Rabi,2024,22065,55162,2.5,Laterite,Medium,Humid,Potash
Himachal Pradesh,Himachal Pradesh District,Apple,Zaid,2024,27043,146032,5.4,Red,Medium,Semi-Arid,Urea
Himachal Pradesh,Himachal Pradesh District,Wheat,Kharif,2024,15407,61936,4.02,Clay Loam,Low,Humid,Potash
Himachal Pradesh,Himachal Pradesh District,Potato,Kharif,2024,6439,28267,4.39,Black,Medium,Semi-Arid,Organic + NPK
Himachal Pradesh,Himachal Pradesh District,Jowar,Zaid,2024,5423,14913,2.75,Alluvial,High,Temperate,Urea
Himachal Pradesh,Himachal Pradesh District,Ragi,Kharif,2024,18443,46845,2.54,Alluvial,Low,Temperate,Urea
Himachal Pradesh,Himachal Pradesh District,Rubber,Rabi,2024,22995,87151,3.79,Alluvial,High,Temperate,NPK
Himachal Pradesh,Himachal Pradesh District,Jowar,Rabi,2024,866,3758,4.34,Black,High,Temperate,DAP + Urea
Himachal Pradesh,Himachal Pradesh District,Cotton,Kharif,2024,18661,76696,4.11,Clay Loam,High,Temperate,DAP + Urea
Himachal Pradesh,Himachal Pradesh District,Tea,Kharif,2024,22559,120013,5.32,Red,Low,Semi-Arid,Urea
Himachal Pradesh,Himachal Pradesh District,Maize,Rabi,2024,1646,7571,4.6,Sandy,Low,Semi-Arid,Organic + NPK
Himachal Pradesh,Himachal Pradesh District,Wheat,Kharif,2024,1746,10476,6,Black,Low,Mountain,Organic + NPK
Himachal Pradesh,Himachal Pradesh District,Potato,Rabi,2025,4390,21598,4.92,Black,Low,Mountain,NPK
Himachal Pradesh,Himachal Pradesh District,Jute,Rabi,2025,5369,26415,4.92,Sandy,Low,Mountain,NPK
Himachal Pradesh,Himachal Pradesh District,Ragi,Kharif,2025,4846,24811,5.12,Red,High,Semi-Arid,Organic + NPK
Himachal Pradesh,Himachal Pradesh District,Banana,Zaid,2025,25607,149032,5.82,Alluvial,High,Tropical,Organic + NPK
Himachal Pradesh,Himachal Pradesh District,Banana,Kharif,2025,18531,98028,5.29,Loam,High,Humid,Potash
Himachal Pradesh,Himachal Pradesh District,Jowar,Zaid,2025,18810,108721,5.78,Alluvial,Medium,Mountain,DAP + Urea
Himachal Pradesh,Himachal Pradesh District,Tea,Rabi,2025,19408,97816,5.04,Loam,High,Semi-Arid,Urea
Himachal Pradesh,Himachal Pradesh District,Jute,Kharif,2025,11791,62728,5.32,Loam,Low,Tropical,DAP + Urea
Himachal Pradesh,Himachal Pradesh District,Ragi,Zaid,2025,7261,12125,1.67,Clay Loam,High,Tropical,Potash
